title,isbn,coverImage,price,mrp,rating,author,binding,url
"Junior Maths Class- 1 (Old Like New Book)  (Paperback, Asit Das Gupta, Anindita Banerjee)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/p/y/s/junior-maths-class-1-old-like-new-book-original-imagubcbazdmqh84.jpeg?q=70&crop=false","","","","Asit Das Gupta, Anindita Banerjee","Paperback","https://www.flipkart.com/junior-maths-class-1-old-like-new-book/p/itmad30ba3a036c5"
"Junior Maths 1  (Paperback, A Das Gupta, A Banerjee)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/b/j/e/junior-maths-1-original-imagtzyg2jfgphsx.jpeg?q=70&crop=false","","","","A Das Gupta, A Banerjee","Paperback","https://www.flipkart.com/junior-maths-1/p/itm6ce80a43dc2af"
"Junior Maths Class - 5  (Paperback, Asit Das Gupta, Anindita Banerjee)","","https://rukminim2.flixcart.com/image/416/416/j4hc5u80/regionalbooks/g/w/g/junior-maths-class-5-original-imaesbp2ayd6c6ek.jpeg?q=70&crop=false","","","","Asit Das Gupta, Anindita Banerjee","Paperback","https://www.flipkart.com/junior-maths-class-5/p/itmewcbfse657xk2"
"","","","","","","","","https://www.flipkart.com/junior-maths-class-4/p/itmb6828b6535629"
"Junior Maths Class 3  (Paperback, Asit Das Gupta, Anindita Banerjee)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/g/g/u/junior-maths-class-1-original-imaggb4gqrfqnuw9.jpeg?q=70&crop=false",244,263,"4.8","Asit Das Gupta, Anindita Banerjee","Paperback","https://www.flipkart.com/junior-maths-class-3/p/itm537598692e9ef"
"Junior Maths 5  (Paperback, A Das Gupta)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/p/u/o/junior-maths-5-original-imagqbfxxyh8mafc.jpeg?q=70&crop=false",285,381,"","A Das Gupta","Paperback","https://www.flipkart.com/junior-maths-5/p/itm40a4cd63a8939"
"Junior Maths Class- 4 (Old Like New Book)  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/8/b/o/junior-maths-class-4-old-like-new-book-original-imagub8ht5gzyevz.jpeg?q=70&crop=false",277,356,"","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/junior-maths-class-4-old-like-new-book/p/itm49cfca6dd8a8e"
"Junior Maths - 5  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/kkr72q80/regionalbooks/b/2/s/junior-maths-5-original-imagyyuukdh254kd.jpeg?q=70&crop=false",350,362,"4.4","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/junior-maths-5/p/itm04ba0e13a94cb"
"Junior Maths - 2  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/kkr72q80/regionalbooks/a/s/5/junior-maths-2-original-imagyyuygzpty4zs.jpeg?q=70&crop=false",265,302,"4.4","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/junior-maths-2/p/itm071e833422561"
"Math Steps 1  (English, Undefined, Gupta Asit Das)","","https://rukminim2.flixcart.com/image/416/416/jzd0qkw0/book/0/6/6/math-steps-1-original-imafjdvbarkqtsdm.jpeg?q=70&crop=false",160,226,"4.3","","","https://www.flipkart.com/math-steps-1/p/itmb8387b1fbe840"
"Math Steps Step A  (Hardcover, A DAS GUPTA & S B PRASAD)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/1/s/h/math-steps-step-a-original-imagmzzgpvhfnvnu.jpeg?q=70&crop=false",179,209,"3","A DAS GUPTA & S B PRASAD","Hardcover","https://www.flipkart.com/math-steps-step/p/itm059b85d1dda1e"
"Bharti Bhawan Math Steps 3 2023 Edition (English)  (Paperback, Asit Das Gupta & Suryabhushan Prashad)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/a/b/t/bharti-bhawan-math-steps-3-2023-edition-english-original-imagny6nzn88vdxh.jpeg?q=70&crop=false",299,319,"4.6","Asit Das Gupta & Suryabhushan Prashad","Paperback","https://www.flipkart.com/bharti-bhawan-math-steps-3-2023-english/p/itm3bfe5dbc6b8a9"
"Math Steps 3  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/r/4/b/math-steps-3-original-imah65tm5hfjjeya.jpeg?q=70&crop=false",180,192,"4.44.44.14","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/math-steps-3/p/itm7fec8f9a287c9"
"Math Steps Class 4  (Paperback, Asit Das Gupta, Suryabhushan Prasad)","","https://rukminim2.flixcart.com/image/416/416/kvtuxe80/regionalbooks/e/d/u/math-steps-class-4-original-imag8ndhf4t75csh.jpeg?q=70&crop=false",219,"","4.5","Asit Das Gupta, Suryabhushan Prasad","Paperback","https://www.flipkart.com/math-steps-class-4/p/itm39273241f08f6"
"Math Steps 5  (English, Paperback, Gupta Asit Das)","","https://rukminim2.flixcart.com/image/416/416/jzn0tjk0/book/6/1/6/math-steps-5-original-imafjhn2fvk59d5h.jpeg?q=70&crop=false",184,260,"4.5","","","https://www.flipkart.com/math-steps-5/p/itm9a9305cc6b969"
"Math Steps 4  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/t/s/0/math-steps-4-original-imah65tz5efph84g.jpeg?q=70&crop=false",160,171,"","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/math-steps-4/p/itme61a59ae9f884"
"Math Steps For Class 3 | Mathematics Boos Of Class III, Junior Math Steps Book  (Paperback, HK)","","https://rukminim2.flixcart.com/image/416/416/kqpj4i80/regionalbooks/y/n/f/math-steps-for-class-3-mathematics-boos-of-class-iii-junior-math-original-imag4nurywrmbdjq.jpeg?q=70&crop=false",220,287,"4.5","HK","Paperback","https://www.flipkart.com/math-steps-class-3-mathematics-boos-iii-junior-book/p/itm76dd5ca7ae22d"
"Math Steps 5  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/3/3/2/math-steps-5-original-imah65tpdhj4qw4u.jpeg?q=70&crop=false",150,164,"4.4","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/math-steps-5/p/itmede9c9bf97748"
"Math Steps 2  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/2/i/g/math-steps-2-original-imah65tk5kkhnwpc.jpeg?q=70&crop=false",170,180,"4.14.2","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/math-steps-2/p/itm300235b1e5ca5"
"Math Steps 4  (Paperback, Asit Das Gupta, PHD, Suryabhusan Prasad, PHD)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/n/n/s/math-steps-4-original-imagub44hucgdkgp.jpeg?q=70&crop=false",240,246,"","Asit Das Gupta, PHD, Suryabhusan Prasad, PHD","Paperback","https://www.flipkart.com/math-steps-4/p/itmd720999d656e8"
"Math Steps Class 2  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/kzk6bgw0/regionalbooks/g/z/x/math-steps-class-2-original-imagbje9sasfdgeh.jpeg?q=70&crop=false",168,"","4.8","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/math-steps-class-2/p/itm1c763c67fd0b8"
"Bharti Bhawan Math Steps 4 2023 Edition (English)  (Paperback, Asit Das Gupta & Suryabhushan Prashad)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/j/a/y/bharti-bhawan-math-steps-4-2023-edition-english-original-imagny6kpaqrh7jy.jpeg?q=70&crop=false",299,319,"4.3","Asit Das Gupta & Suryabhushan Prashad","Paperback","https://www.flipkart.com/bharti-bhawan-math-steps-4-2023-english/p/itm465c3d0fe6916"
"Math Steps Class 2  (Paperback, ASIT DAS)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/j/i/j/math-steps-class-2-original-imaghkgsbp2vwzzz.jpeg?q=70&crop=false","","","","ASIT DAS","Paperback","https://www.flipkart.com/math-steps-class-2/p/itm00cae3e78cdd2"
"My Grammar Time Class-3, PB  (English, Paperback, Sarah Lalengzami Pachuau)","","https://rukminim2.flixcart.com/image/416/416/jjrgosw0/book/8/7/2/my-grammar-time-class-3-pb-original-imaf79nz4qhcbzzv.jpeg?q=70&crop=false",156,285,"4.54.54.84.7","","","https://www.flipkart.com/my-grammar-time-class-3-pb/p/itmf79kysy4rfh9b"
"My Grammar Time Class 1  (Paperback, Sarah Lalengzami Pachuau)","","https://rukminim2.flixcart.com/image/416/416/kr6oeq80/regionalbooks/k/v/k/my-grammar-time-class-1-original-imag5fgyjcfhnfxj.jpeg?q=70&crop=false","","","","Sarah Lalengzami Pachuau","Paperback","https://www.flipkart.com/my-grammar-time-class-1/p/itm4b88e9101075e"
"My Grammar Time Book 3  (Paperback, Rinku Gangopadhyay)","","https://rukminim2.flixcart.com/image/416/416/l5ld8y80/regionalbooks/v/d/m/my-grammar-time-book-3-original-imagg89mmggaazzc.jpeg?q=70&crop=false","","","","Rinku Gangopadhyay","Paperback","https://www.flipkart.com/my-grammar-time-book-3/p/itm23be23a3cbbad"
"My Grammar Time Book 5  (Paperback, Panel of experts)","","https://rukminim2.flixcart.com/image/416/416/l4oi4cw0/regionalbooks/f/z/r/my-grammar-time-book-5-original-imagfgqp9fx5rgnc.jpeg?q=70&crop=false","","","","Panel of experts","Paperback","https://www.flipkart.com/my-grammar-time-book-5/p/itm2ac6170580824"
"Bharati Bhawan My Grammar Time Class 3  (Paperback, Rinku Gangopadhyay)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/o/v/w/bharati-bhawan-my-grammar-time-class-3-original-imagub59zfznvkty.jpeg?q=70&crop=false",190,269,"","Rinku Gangopadhyay","Paperback","https://www.flipkart.com/bharati-bhawan-my-grammar-time-class-3/p/itm4e030a1c1ffeb"
"My Grammar Time Class-4 (Old Book)  (Paperback, Rinku Gangopadhyay)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/5/7/9/my-grammar-time-class-4-old-book-original-imagr2d4psfzgvbh.jpeg?q=70&crop=false",191,282,"","Rinku Gangopadhyay","Paperback","https://www.flipkart.com/my-grammar-time-class-4-old-book/p/itm56425415d04c5"
"My Grammar Time Class 1  (Paperback, Hindi, Sarah Lalengzami Pachuau)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/j/l/l/my-grammar-time-class-1-original-imagub4mdxtpthpw.jpeg?q=70&crop=false","","","","Sarah Lalengzami Pachuau","Paperback","https://www.flipkart.com/my-grammar-time-class-1/p/itm06d72d85155e2"
"My Grammar Time Class 2  (Paperback, Sarah Lalengzami Pachuau)","","https://rukminim2.flixcart.com/image/416/416/kr6oeq80/regionalbooks/9/8/x/my-grammar-time-class-2-original-imag5fg3sbfkpdzg.jpeg?q=70&crop=false",175,187,"","Sarah Lalengzami Pachuau","Paperback","https://www.flipkart.com/my-grammar-time-class-2/p/itma466d9ff24b9c"
"My Grammar Time Book 4  (Paperback, Rinku Gangopadhyay)","","https://rukminim2.flixcart.com/image/416/416/l5ld8y80/regionalbooks/s/p/j/my-grammar-time-book-4-original-imagg8affmbyhe9c.jpeg?q=70&crop=false","","","","Rinku Gangopadhyay","Paperback","https://www.flipkart.com/my-grammar-time-book-4/p/itm6ccade673d977"
"MY Grammar Time Class 3  (Paperback, Rinku Gangopadhyay)","","https://rukminim2.flixcart.com/image/416/416/ksaoqkw0/regionalbooks/y/e/g/my-grammar-time-class-3-original-imag5wafbaqqnhcw.jpeg?q=70&crop=false",205,229,"","Rinku Gangopadhyay","Paperback","https://www.flipkart.com/my-grammar-time-class-3/p/itm6b1e56f27bfef"
"Sanskrit Bharati Praveshika  (Paperback, Sanskrit, BHARTI BHAWAN EXPERT)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/d/g/1/sanskrit-bharati-praveshika-original-imaggwzh8kzntpxf.jpeg?q=70&crop=false","","","","BHARTI BHAWAN EXPERT","Paperback","https://www.flipkart.com/sanskrit-bharati-praveshika/p/itm546f46d557b8b"
"Sanskrit Bharati 3 / E2 02 Edition  (Sanskrit, Paperback, Dev Kant Jha)","","https://rukminim2.flixcart.com/image/416/416/book/5/1/7/sanskrit-bharati-3-e2-original-imad8jsgkhhbheeg.jpeg?q=70&crop=false","","","","Dev Kant Jha","","https://www.flipkart.com/sanskrit-bharati-3-e2-02/p/itmdyufkmkxxkkjg"
"Sugam Sanskrit Vyakaran Class 7 - Based On NCERT  (Paperback, Dr. Neelam Chaturvedi, Dr. Chanchala Gupta)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/a/6/x/sugam-sanskrit-vyakaran-class-7-based-on-ncert-original-imaghe4pyeraytyu.jpeg?q=70&crop=false",290,300,"4.4","","","https://www.flipkart.com/sugam-sanskrit-vyakaran-class-7-based-ncert/p/itm8445caf39bd10"
"A Sanskrit Course for Beginners: Pt. II  (English, Paperback, Jessup Warwick)","","https://rukminim2.flixcart.com/image/416/416/kjabs7k0-0/book/a/3/f/a-sanskrit-course-for-beginners-pt-ii-original-imafyvztxerusqyf.jpeg?q=70&crop=false",103,241,"3.73.73.3","","","https://www.flipkart.com/sanskrit-course-beginners-pt-ii/p/itmd93b4tj5nacau"
"Ncert Practice Workbook Sanskrit Ruchira (Prathmo Bhag) Class 6  - Class 6  (Hindi, Paperback, unknown)","","https://rukminim2.flixcart.com/image/416/416/kjkbv680-0/book/7/p/q/ncert-practice-workbook-sanskrit-ruchira-prathmo-bhag-class-6-original-imafz3j8fshyzwfj.jpeg?q=70&crop=false",154,176,"4.2","","","https://www.flipkart.com/workbook-sanskrit-cbse-class-6/p/itmeqsygmgnppubx"
"Secondary School Mathematics for Class 10 - R.S. Aggarwal - CBSE - Examination 2024-25  - MATHS with 1 Disc  (English, Paperback, unknown)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/j/f/e/secondary-school-mathematics-for-class-10-r-s-aggarwal-cbse-original-imah29u54r8abpum.jpeg?q=70&crop=false","","","","","","https://www.flipkart.com/secondary-school-mathematics-class-10-cbse-r-s-aggarwal-examination/p/itm6d6a6e8765285"
"Secondary School Mathematics for Class 9 - R.S. Aggarwal - CBSE - Examination 2024-25  (English, Paperback, Aggarwal Veena)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/o/d/w/-original-imagzjn6yhv662vy.jpeg?q=70&crop=false",327,682,"4.44.44.24.3","","","https://www.flipkart.com/secondary-school-mathematics-class-9-cbse-r-s-aggarwal-examination/p/itm3eed5430e4a1b"
"SECONDARY SCHOOL MATHEMATICS FOR CLASS 9  (English, Paperback, R S AGGARWAL, V AGGARWAL)","","https://rukminim2.flixcart.com/image/416/416/je1pa4w0/book/1/8/1/secondary-school-mathematics-for-class-9-original-imaf2tu6b3mq7b3w.jpeg?q=70&crop=false",348,553,"4.34.34.44.4","","","https://www.flipkart.com/secondary-school-mathematics-class-9/p/itmf2twhzsqsczze"
"SECONDARY SCHOOL MATHEMATICS CLASS-X (2020)  (English, Paperback, R S AGGARWAL, V AGGARWAL)","","https://rukminim2.flixcart.com/image/416/416/k7gikcw0/book/2/2/3/secondary-school-mathematics-class-x-2020-original-imafpztxy6gg7c7v.jpeg?q=70&crop=false",570,696,"4.14.14.4","","","https://www.flipkart.com/secondary-school-mathematics-class-x-2020/p/itmd1dbcd8359c53"
"Senior Secondary School Mathematics for Class 12  (English, Paperback, Aggarwal R. S.)","","https://rukminim2.flixcart.com/image/416/416/jpsnma80/book/6/3/8/senior-secondary-school-mathematics-for-class-12-original-imafbyjzfegzjhmt.jpeg?q=70&crop=false",560,616,"4.5","","","https://www.flipkart.com/senior-secondary-school-math-12-english/p/itmdyufkgcvcsuhe"
"Senior Secondary School Mathematics for Class 12 - by R S Aggarwal (2024-25 Examination)  - Senior Secondary School Mathematics for Class 12 - by R S Aggarwal (2024-25 Examination) Paperback  (book, R S Aggarwal)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/i/m/v/senior-secondary-school-mathematics-for-class-12-by-r-s-aggarwal-original-imah5469s4xy2uzk.jpeg?q=70&crop=false",747,1335,"4444.1","","","https://www.flipkart.com/senior-secondary-school-mathematics-class-12-r-s-aggarwal-2024-25-examination-paperback/p/itmd74b2a4249b8d"
"The Magic Carpet Integrated English Course Book 8  (Paperback, Amber Banerjee)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/s/f/n/the-magic-carpet-integrated-english-course-book-8-original-imagh4g7kyg7heg2.jpeg?q=70&crop=false","","","","Amber Banerjee","Paperback","https://www.flipkart.com/magic-carpet-integrated-english-course-book-8/p/itm7a694c9df495f"
"The Magic Carpet Integrated English Course Book 2  (Paperback, Benita Sen)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/q/g/3/the-magic-carpet-integrated-english-course-book-2-original-imaghhvcpage3qve.jpeg?q=70&crop=false",179,225,"","Benita Sen","Paperback","https://www.flipkart.com/magic-carpet-integrated-english-course-book-2/p/itmac4ef7ebf5671"
"The Magic Carpet Integrated English Course Book 5  (Paperback, Amber Banerjee)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/v/v/n/the-magic-carpet-integrated-english-course-book-5-original-imaggkz3gb77waq9.jpeg?q=70&crop=false","","","","Amber Banerjee","Paperback","https://www.flipkart.com/magic-carpet-integrated-english-course-book-5/p/itme0543ae21efcc"
"The Magic Carpet Class-2(Old Like New Book)  (Paperback, Benita Sen)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/t/m/l/the-magic-carpet-class-2-old-like-new-book-original-imagv34zkysnp6x9.jpeg?q=70&crop=false",216,252,"","Benita Sen","Paperback","https://www.flipkart.com/magic-carpet-class-2-old-like-new-book/p/itm006d227efc483"
