Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating
"Blossom Basic Knowledge Of Computer Learning Books For Kids | Level 1 To 4 | Computer Fundamentals, Applications And Features | MS Paint, Notepad, Wordpad, Windows, MS Office, Internet And MSW Logo | Set Of 4 Books",RBKFHC9CE5FC5FNF,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-books-kids-level-1-4-fundamentals-applications-features-ms-paint-notepad-wordpad-windows-office-internet-msw-logo-set/p/itma5d497ea34910?pid=RBKFHC9CE5FC5FNF,https://rukminim2.flixcart.com/image/612/612/jvwpfgw0/regionalbooks/f/b/c/computer-books-for-kids-1-to-4-combo-of-4-computer-books-original-imafgp59avvngcz3.jpeg?q=70,₹610,₹710,14% off,"Paperback, Target Publications",4.3
"Blossom Basic Knowledge Of Computer Learning Book For Kids | Level 7 | Knowledge On Powerpoint, QBASIC And Introduction To MS Access, Virus, E-Commerce And Adobe Flash",RBKFHC9ECSE2GPFX,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-book-kids-level-7-powerpoint-qbasic-introduction-ms-access-virus-e-commerce-adobe-flash/p/itm436c9cb459642?pid=RBKFHC9ECSE2GPFX,https://rukminim2.flixcart.com/image/612/612/l47cu4w0/regionalbooks/i/e/c/blossom-basic-knowledge-of-computer-learning-book-for-kids-level-original-imagf5gefg8fjpfw.jpeg?q=70,₹140,₹240,41% off,"Paperback, Target Publications",5
"Foundation Science: Physics For Class 9 (English, Paperback, H C Verma)",RBKEQ75GBPRZVXRZ,https://www.flipkart.com/foundation-science-physics-class-9-english-paperback-h-c-verma/p/itmeq75gpurvma8w?pid=RBKEQ75GBPRZVXRZ,https://rukminim2.flixcart.com/image/612/612/regionalbooks/x/r/z/foundation-science-physics-for-class-9-english-paperback-h-c-original-imaepz4t4hfhpzcw.jpeg?q=70,₹264,₹268,1% off,"peparback, H C Verma",4.4
Foundation Science Physics For Class 9 By H.C Verma Examination 2022-23,RBKGHGDMRJT6QNRQ,https://www.flipkart.com/foundation-science-physics-class-9-h-c-verma-examination-2022-23/p/itmefceb3fb44874?pid=RBKGHGDMRJT6QNRQ,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/g/x/foundation-science-physics-for-class-9-by-h-c-verma-examination-original-imagmfjfpc8yed4e.jpeg?q=70,₹286,₹349,18% off,"Paperback, Hc verma",4.2
Foundation Science Physics For Class 9,RBKGN9UGFFDYWEMC,https://www.flipkart.com/foundation-science-physics-class-9/p/itm95a278d0eb8db?pid=RBKGN9UGFFDYWEMC,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/j/e/e/foundation-science-physics-for-class-9-original-imagn9ugnkhtvgzh.jpeg?q=70,₹265,₹290,8% off,"Paperback, H C Verma",4.5
Foundation Science Physics For Class 9,RBKGVQGBPMVM2A7W,https://www.flipkart.com/foundation-science-physics-class-9/p/itmcb436ea397af2?pid=RBKGVQGBPMVM2A7W,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/c/0/z/foundation-science-physics-for-class-9-original-imagvqgbwnyxtjph.jpeg?q=70,₹289,₹299,3% off,"Paperback, H.C. Verma",2.9
Foundation Science Physics For Class 9 (2023-24),RBKGZ529PXXSFKPN,https://www.flipkart.com/foundation-science-physics-class-9-2023-24/p/itm587293aa055d3?pid=RBKGZ529PXXSFKPN,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/q/6/0/foundation-science-physics-for-class-9-2023-24-original-imagz529mfgjrsqd.jpeg?q=70,₹265,₹290,8% off,"Paperback, H.C. Verma",4.2
"Foundation Science Physics For Class - 9 
 And 10 Examination -( Set Of 2 Books) (Paperback, H. C. VERMA)-2023 EDITION",RBKGMVGFGDEGTGUC,https://www.flipkart.com/foundation-science-physics-class-9-10-examination-set-2-books-paperback-h-c-verma-2023/p/itm6608e2426b448?pid=RBKGMVGFGDEGTGUC,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/m/e/s/foundation-science-physics-for-class-9-10-examination-set-of-2-original-imagms7naktkt2tx.jpeg?q=70,₹639,₹690,7% off,"Paperback, H C VERMA",4.4
Pearson Iit Foundation Series Class 9 Physics,9789353944469,https://www.flipkart.com/pearson-iit-foundation-series-class-9-physics/p/itm09277d9965d58?pid=9789353944469,https://rukminim2.flixcart.com/image/612/612/k69ncsw0/book/4/6/9/pearson-iit-foundation-series-class-9-physics-2020-edition-by-original-imafzrnvthce6gur.jpeg?q=70,₹530,₹575,7% off,"English, Paperback, unknown",4.6
Physics Foundation Course for Jee/Olympiad : Class 9,9789390801282,https://www.flipkart.com/physics-foundation-course-jee-olympiad-class-9/p/itmcc9e88b8c9961?pid=9789390801282,https://rukminim2.flixcart.com/image/612/612/kmthz0w0/book/x/i/w/physics-foundation-course-ntse-kvpy-boards-jee-pets-neet-nso-original-imagfnyhmdx4hchh.jpeg?q=70,₹360,₹425,15% off,"English, Paperback, unknown",4.5
"Harish Chandra Verma
 
Foundation Science Physics For Class 9 - CBSE - by H C Verma - Examination 2023-2024",9781252412520,https://www.flipkart.com/harish-chandra-verma-foundation-science-physics-class-9-cbse-h-c-examination-2023-2024/p/itm23eed584dea4c?pid=9781252412520,https://rukminim2.flixcart.com/image/612/612/xif0q/book/y/i/v/harish-chandra-verma-foundation-science-physics-for-class-9-cbse-original-imahfzhp5a4u8fcr.jpeg?q=70,₹249,₹450,44% off,"Paperback, HC Verma",2.6
Pearson Iit Foundation Physics Class 9 2021,9789390531530,https://www.flipkart.com/pearson-iit-foundation-physics-class-9-2021/p/itm28fda446c3c47?pid=9789390531530,https://rukminim2.flixcart.com/image/612/612/kk5rgy80/book/r/h/l/pearson-iit-foundation-physics-class-9-2021-edition-by-pearson-original-imafzk9jghwczbzg.jpeg?q=70,₹535,₹575,6% off,"English, Paperback, unknown",4.6
Foundation Science Physics For Class 9 - CBSE - by H C Verma - Examination 2023-2024,9788177097313,https://www.flipkart.com/foundation-science-physics-class-9-cbse-h-c-verma-examination-2023-2024/p/itm77124c70f1e68?pid=9788177097313,https://rukminim2.flixcart.com/image/612/612/xif0q/book/u/z/h/foundation-science-physics-for-class-9-cbse-by-h-c-verma-original-imah83ygh2gpga8g.jpeg?q=70,₹225,₹290,22% off,"English, Paperback, Verma H C",4.4
Pearson IIT Foundation Physics Class 9,9789352866793,https://www.flipkart.com/pearson-iit-foundation-physics-class-9/p/itmefqbvqwf8pe3e?pid=9789352866793,https://rukminim2.flixcart.com/image/612/612/kjd6nww0-0/book/0/c/z/pearson-iit-foundation-physics-class-9-original-imafyxhpentbfgkt.jpeg?q=70,₹575,,,"English, Paperback, unknown",4.6
Pearson Iit Foundation Series - Physics - Class 9,9789353430917,https://www.flipkart.com/pearson-iit-foundation-series-physics-class-9/p/itm1272a28597ffd?pid=9789353430917,https://rukminim2.flixcart.com/image/612/612/kjd6nww0-0/book/s/i/z/pearson-iit-foundation-series-physics-class-9-original-imafyxjkkzcvg5da.jpeg?q=70,₹620,,,"English, Paperback, unknown",4.6
Pearson Iit Foundation Physics Class 9,9789354498398,https://www.flipkart.com/pearson-iit-foundation-physics-class-9/p/itmefqbvqwf8pe3e?pid=9789354498398,https://rukminim2.flixcart.com/image/612/612/kz5vwy80/book/a/a/h/pearson-iit-foundation-physics-class-9-original-imagb8c8ggryfhqu.jpeg?q=70,₹600,₹620,3% off,"English, Paperback, unknown",4.6
Pearson IIT Foundation Physics Class 9,9789332568655,https://www.flipkart.com/pearson-iit-foundation-physics-class-9/p/itmefqbvqwf8pe3e?pid=9789332568655,https://rukminim2.flixcart.com/image/612/612/jkobte80/book/6/5/5/the-foundation-series-of-physics-class-9-original-imaf7yzfkh9dme9f.jpeg?q=70,₹615,₹625,1% off,"English, Paperback, unknown",4.6
"MTG Foundation Course Class 9 Physics Book For IIT JEE, NEET, NSO Olympiad, NTSE, NVS, KVPY & Boards Exam | Based on NCERT Latest Pattern 2024-25",9789360231866,https://www.flipkart.com/mtg-foundation-course-class-9-physics-book-iit-jee-neet-nso-olympiad-ntse-nvs-kvpy-boards-exam-based-ncert-latest-pattern-2024-25/p/itmfc4f737d56fce?pid=9789360231866,https://rukminim2.flixcart.com/image/612/612/xif0q/book/m/q/f/foundation-course-physics-class-9-original-imah4uwzcfs3qxzr.jpeg?q=70,₹355,₹475,25% off,"English, Paperback, MTG Editorial Board",4.3
Physics Foundation Course for Jee/Olympiad Class 9,9789355551801,https://www.flipkart.com/physics-foundation-course-jee-olympiad-class-9/p/itmb13ae9001eabb?pid=9789355551801,https://rukminim2.flixcart.com/image/612/612/kzfvzww0/book/l/f/f/mtg-foundation-course-for-ntse-nvs-boards-jee-neet-nso-olympiad-original-imagbgg5h6e6gptz.jpeg?q=70,₹419,₹425,1% off,"English, Paperback, unknown",4.5
"Hive Mind Class 9 Foundation Course: Physics, Chemistry, Biology, Science DPP (4-Book Combo)  - NTSE, STSE, JEE, NEET Olympiad Exam And Other Competitive Exams",9789355607386,https://www.flipkart.com/hive-mind-class-9-foundation-course-physics-chemistry-biology-science-dpp-4-book-combo-ntse-stse-jee-neet-olympiad-exam-other-competitive-exams/p/itm7b4754f8ca69c?pid=9789355607386,https://rukminim2.flixcart.com/image/612/612/xif0q/book/s/2/7/hive-mind-class-9-foundation-course-physics-chemistry-biology-original-imah3xve3e4pzrne.jpeg?q=70,₹400,,,"Paperback, Student Advisor",
Physics Class 9,9789332538115,https://www.flipkart.com/physics-class-9/p/itmce91b510259ca?pid=9789332538115,https://rukminim2.flixcart.com/image/612/612/kjd6nww0-0/book/v/f/v/physics-class-9-original-imafyxmfqyhae7bk.jpeg?q=70,₹610,₹620,1% off,"English, Paperback, unknown",4.5
Pearson Foundation Physics Class 7,9789354497759,https://www.flipkart.com/pearson-foundation-physics-class-7/p/itm207dac178ffef?pid=9789354497759,https://rukminim2.flixcart.com/image/612/612/xif0q/book/d/d/a/-original-imagqtdtyppgbh7v.jpeg?q=70,₹280,₹450,37% off,"English, Paperback, unknown",4.4
Physics Foundation Course for Jee/Olympiad Class 9,9789389590180,https://www.flipkart.com/physics-foundation-course-jee-olympiad-class-9/p/itmb13ae9001eabb?pid=9789389590180,https://rukminim2.flixcart.com/image/612/612/k7dnonk0/book/1/8/0/physics-foundation-course-for-jee-olympiad-class-9-original-imafpn2gjrfzrzbg.jpeg?q=70,₹425,,,"English, Paperback, unknown",4.5
Iit Foundation Series | Physics Practice Book | Class 9,9789353431716,https://www.flipkart.com/iit-foundation-series-physics-practice-book-class-9/p/itmb596da92d0bbe?pid=9789353431716,https://rukminim2.flixcart.com/image/612/612/kjd6nww0-0/book/p/y/h/iit-foundation-series-physics-practice-book-class-9-original-imafyxmsmfhythpz.jpeg?q=70,₹175,₹225,22% off,"English, Paperback, unknown",4.4
"Pearson NEET Foundation Physics, Chemistry & Biology Based on NCERT Curriculum, Useful for NEET, NTSE, Olympiad Exams - Class 9",9786035444873,https://www.flipkart.com/pearson-neet-foundation-physics-chemistry-biology-based-ncert-curriculum-useful-neet-ntse-olympiad-exams-class-9/p/itmf058e3b4147d7?pid=9786035444873,https://rukminim2.flixcart.com/image/612/612/xif0q/book/x/o/9/pearson-neet-foundation-physics-chemistry-biology-based-on-ncert-original-imagzvvyfkcyzpay.jpeg?q=70,₹770,₹813,5% off,"Paperback, Pearson",4.5
"Matrix Foundation Course Class 9 Mental ability, Physics, Chemistry, Biology, Mathematics 1 & 2 (Set of 7 Books) for IIT JEE, NEET, NTSE, NMTC, STSE, RMO, IJSO, KVPY, NSO, Olympiad Exam | Based on NCERT Latest Pattern 2024-25  - Matrix Foundation Modules Class 10",9788198056153,https://www.flipkart.com/matrix-foundation-course-class-9-mental-ability-physics-chemistry-biology-mathematics-1-2-set-7-books-iit-jee-neet-ntse-nmtc-stse-rmo-ijso-kvpy-nso-olympiad-exam-based-ncert-latest-pattern-2024-25-modules-10/p/itm39708a5395f37?pid=9788198056153,https://rukminim2.flixcart.com/image/612/612/xif0q/book/u/t/k/matrix-foundation-course-class-9-mental-ability-physics-original-imah5zwdgee6k3us.jpeg?q=70,"₹2,149","₹3,499",38% off,"Paperback, Matrix High School",
Foundation Science Physics For Class - 9 &10 Examination -( Set Of 2 Books),RBKG4UGPBZHKT9SM,https://www.flipkart.com/foundation-science-physics-class-9-10-examination-set-2-books/p/itma2da63b2d6611?pid=RBKG4UGPBZHKT9SM,https://rukminim2.flixcart.com/image/612/612/kqy3rm80/regionalbooks/f/a/t/foundation-science-physics-for-class-9-10-examination-set-of-2-original-imag4ugzehfzggyh.jpeg?q=70,₹570,,,"Paperback, H. C. VERMA",4.4
Pearson IIT Foundation Series PHYSICS+ Chemistry Class 9,RBKGFEG6PXHSYTFD,https://www.flipkart.com/pearson-iit-foundation-series-physics-chemistry-class-9/p/itm296e87f36250b?pid=RBKGFEG6PXHSYTFD,https://rukminim2.flixcart.com/image/612/612/kmjhw280/regionalbooks/t/n/r/pearson-iit-foundation-series-physics-chemistry-class-9-original-imagfeg6y8jjyzcy.jpeg?q=70,₹995,,,"Paperback, Pearson",
"Foundation Science-Physics For Class 9
by Hc Verma",RBKGM2G6XBGZ4C8Q,https://www.flipkart.com/foundation-science-physics-class-9-hc-verma/p/itm4ba546abb9755?pid=RBKGM2G6XBGZ4C8Q,https://rukminim2.flixcart.com/image/612/612/xif0q/book/g/y/3/foundation-science-physics-for-class-9-by-hc-verma-original-imagmfgxhuqsbun5.jpeg?q=70,₹290,₹350,17% off,"Paperback, Hc verma",4.4
Foundation Science: Physics For Class 9,RBKG52J4UBH6UZAE,https://www.flipkart.com/foundation-science-physics-class-9/p/itmac369c2fbeec5?pid=RBKG52J4UBH6UZAE,https://rukminim2.flixcart.com/image/612/612/krjjde80/regionalbooks/r/o/q/foundation-science-physics-for-class-9-original-imag5bc7jzxnkhup.jpeg?q=70,₹280,₹295,5% off,"Paperback, HC VERMA",4.5
Foundation Science Physics For Class 9,RBKGJBRB4T8F7CEE,https://www.flipkart.com/foundation-science-physics-class-9/p/itm6df116e967d04?pid=RBKGJBRB4T8F7CEE,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/l/s/h/foundation-science-physics-for-class-9-original-imagjbrasbqsrk7h.jpeg?q=70,₹130,₹165,21% off,"Paperback, H C VERMA",
Foundation Science Physics For Class - 9,RBKH7KU3GYKYDZ9S,https://www.flipkart.com/foundation-science-physics-class-9/p/itm1bc5ee5109bb4?pid=RBKH7KU3GYKYDZ9S,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/q/g/h/foundation-science-physics-for-class-9-original-imah7ku3ysaxyujz.jpeg?q=70,₹270,₹290,6% off,"Paperback, H C VERMA",
"NEET Foundation Books For Class 9 And 10 (12 Books Set) Biology 5 Books, Physics 4 Books, Chemistry 3 Books",RBKGEDRXJKVQFFDM,https://www.flipkart.com/neet-foundation-books-class-9-10-12-set-biology-5-books-physics-4-chemistry-3/p/itmf1c3dc21bd4d7?pid=RBKGEDRXJKVQFFDM,https://rukminim2.flixcart.com/image/612/612/l37mtu80/regionalbooks/n/p/q/neet-foundation-books-for-class-9-and-10-12-books-set-biology-5-original-imagedrxzger2wuk.jpeg?q=70,"₹4,190","₹4,790",12% off,"Paperback, Kota Live Coaching Team",
"Pearson Foundation Series Iit -Jee Neet Physics, Chemistry, Maths & Biology for Class 9",9789353432720,https://www.flipkart.com/pearson-foundation-series-iit-jee-neet-physics-chemistry-maths-biology-class-9/p/itm33d892c014208?pid=9789353432720,https://rukminim2.flixcart.com/image/612/612/kjd6nww0-0/book/s/a/s/pearson-foundation-series-iit-jee-neet-physics-chemistry-maths-original-imafyxmg333yhrmg.jpeg?q=70,,,,"English, Paperback, unknown",4.5
Foundation Physics for Iit-Jee/ Neet/ Olympiad Class 9,9789386323675,https://www.flipkart.com/foundation-physics-iit-jee-neet-olympiad-class-9/p/itmb84f7547c0559?pid=9789386323675,https://rukminim2.flixcart.com/image/612/612/j13vqfk0/book/6/7/5/foundation-physics-for-iit-jee-neet-olympiad-class-9-4th-edition-original-imaesq8wgdcz7hxs.jpeg?q=70,₹320,,,"English, Paperback, unknown",4.3
Physics Foundation Course for Jee/Olympiad - Class 9,9789387747456,https://www.flipkart.com/physics-foundation-course-jee-olympiad-class-9/p/itm120ef29976302?pid=9789387747456,https://rukminim2.flixcart.com/image/612/612/jf9zxjk0/book/4/5/6/foundation-course-physics-class-9-original-imaf3rqy6gjkzevf.jpeg?q=70,₹300,,,"English, Paperback, unknown",4.5
Physics Foundation Course Class 9 Boards/Jee/ Pets/Aipmt/Pmts/Ntse/Kvpy,9789386379795,https://www.flipkart.com/physics-foundation-course-class-9-boards-jee-pets-aipmt-pmts-ntse-kvpy/p/itm4deefa2597d0c?pid=9789386379795,https://rukminim2.flixcart.com/image/612/612/kiqbma80-0/book/i/7/z/physics-foundation-course-class-9-boards-jee-pets-aipmt-pmts-original-imafygpjyuhtwszq.jpeg?q=70,₹200,₹300,33% off,"English, Paperback, unknown",4.6
New Pattern Class 9 Board + PMT/ Iit-Jee Foundation Physics,9789384089238,https://www.flipkart.com/new-pattern-class-9-board-pmt-iit-jee-foundation-physics/p/itmduubjfpudadyz?pid=9789384089238,https://rukminim2.flixcart.com/image/612/612/book/2/3/8/board-pmt-iit-jee-foundation-physics-class-9-original-imaduv7agcy9hmzy.jpeg?q=70,₹180,₹320,43% off,"English, Book, unknown",3.9
Science & Technology Foundation Series Physics for Class IX,9788131517208,https://www.flipkart.com/science-technology-foundation-series-physics-class-ix/p/itmdaa227bn9g2fv?pid=9788131517208,https://rukminim2.flixcart.com/image/612/612/jksm4y80/book/2/0/8/science-technology-foundation-series-physics-class-ix-original-imaf82kqj9jmumge.jpeg?q=70,₹302,₹425,28% off,"English, Paperback, BASE",4.3
Boards + PMT/ Iit Foundation Physics Class 9,9789382961635,https://www.flipkart.com/boards-pmt-iit-foundation-physics-class-9/p/itmdhjs7ecyypgxb?pid=9789382961635,https://rukminim2.flixcart.com/image/612/612/jpsnma80/book/6/3/5/boards-pmt-iit-foundation-physics-class-ix-original-imafbxynm7wyyzsx.jpeg?q=70,₹248,₹310,20% off,"English, Book, unknown",2.5
Cengage Foundation Series for Jee and Neet Physics Class Ix,9789353500016,https://www.flipkart.com/cengage-foundation-series-jee-neet-physics-class-ix/p/itm472464f30fb7c?pid=9789353500016,https://rukminim2.flixcart.com/image/612/612/jr9iwsw0/book/0/1/6/cengage-foundation-series-for-jee-and-neet-physics-class-ix-original-imafd3kwvkgprg4w.jpeg?q=70,₹310,₹450,31% off,"English, Paperback, unknown",4.5
HIVE MIND FOUNDATION COURSE  - (PHYSICS) CLASS-9-Your Companion to Crack NTSE-STSE-JEE-NEET Olympiad Exam and other Competitive Exams,9789355609410,https://www.flipkart.com/hive-mind-foundation-course-physics-class-9-your-companion-crack-ntse-stse-jee-neet-olympiad-exam-other-competitive-exams/p/itm73ec48ef7e94e?pid=9789355609410,https://rukminim2.flixcart.com/image/612/612/xif0q/book/u/n/8/hive-mind-foundation-course-original-imah2hfkdnnfenjy.jpeg?q=70,₹100,,,"Paperback, Student Advisor",
